eventDate,year,month,day,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,
1970-01-01T00:00:00Z,1970,1,1,-38.0408,144.5119,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-05-15T00:00:00Z,1994,5,15,-38.0544,144.5172,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-08-21T00:00:00Z,1994,8,21,-38.0561,144.5125,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2005-09-18T00:00:00Z,2005,9,18,-38.0459,144.5402,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-07-18T00:00:00Z,1986,7,18,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2000-10-06T00:00:00Z,2000,10,6,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-06-22T00:00:00Z,1986,6,22,-36.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-07-27T00:00:00Z,1991,7,27,-38.3476,142.3683,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1980-01-01T00:00:00Z,1980,1,1,-37.3,139.9,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-07-24T00:00:00Z,1983,7,24,-38.0606,144.5113,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-06-09T00:00:00Z,1994,6,9,-38.0387,144.5416,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-09-17T00:00:00Z,1990,9,17,-38.2257,144.6541,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-09-12T00:00:00Z,1993,9,12,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-10-03T00:00:00Z,1989,10,3,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-06-15T00:00:00Z,1983,6,15,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1977-01-01T00:00:00Z,1977,1,1,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-08-27T00:00:00Z,1990,8,27,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1958-01-01T00:00:00Z,1958,1,1,-38.3318,144.668,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-07-25T00:00:00Z,1993,7,25,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-08-11T00:00:00Z,1994,8,11,-38.0544,144.5172,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-08-22T00:00:00Z,1987,8,22,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-07-26T00:00:00Z,1987,7,26,-38.0588,144.5113,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-06-18T00:00:00Z,1992,6,18,-38.0401,144.5263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1981-09-01T00:00:00Z,1981,9,1,-38.2485,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1981-08-01T00:00:00Z,1981,8,1,-38.2485,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-08-23T00:00:00Z,1993,8,23,-38.0404,144.537,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1979-01-01T00:00:00Z,1979,1,1,-36.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-07-31T00:00:00Z,1984,7,31,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-09-08T00:00:00Z,1986,9,8,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-07-02T00:00:00Z,1988,7,2,-37.9068,144.7929,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-04-22T00:00:00Z,1990,4,22,-40.1401,143.9263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-07-09T00:00:00Z,1989,7,9,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1980-08-01T00:00:00Z,1980,8,1,-38.2485,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-08-26T00:00:00Z,1990,8,26,-38.2235,144.693,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-08-14T00:00:00Z,1983,8,14,-38.0614,144.5101,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-08-21T00:00:00Z,1986,8,21,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-07-24T00:00:00Z,1988,7,24,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-05-26T00:00:00Z,1984,5,26,-38.4734,147.0096,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1980-01-01T00:00:00Z,1980,1,1,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-08-25T00:00:00Z,1989,8,25,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1976-12-10T00:00:00Z,1976,12,10,-38.1651,144.668,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-04-30T00:00:00Z,1989,4,30,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1926-11-06T00:00:00Z,1926,11,6,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-04-22T00:00:00Z,1990,4,22,-38.2401,144.4596,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1971-01-01T00:00:00Z,1971,1,1,-38.4985,142.3347,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-06-30T00:00:00Z,1988,6,30,-38.2235,144.693,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1926-11-01T00:00:00Z,1926,11,1,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-05-28T00:00:00Z,1991,5,28,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1927-10-24T00:00:00Z,1927,10,24,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-10-28T00:00:00Z,1994,10,28,-38.0395,144.5382,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1980-05-01T00:00:00Z,1980,5,1,-38.344,145.4924,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-06-14T00:00:00Z,1987,6,14,-38.2401,144.4596,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-07-11T00:00:00Z,1991,7,11,-36.9,139.8,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-07-31T00:00:00Z,1994,7,31,-38.0387,144.5405,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-06-28T00:00:00Z,1994,6,28,-37.9962,144.5783,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-05-19T00:00:00Z,1987,5,19,-38.0588,144.5113,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1926-05-15T00:00:00Z,1926,5,15,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-09-14T00:00:00Z,1994,9,14,-38.2521,144.6658,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-09-12T00:00:00Z,1993,9,12,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1981-06-01T00:00:00Z,1981,6,1,-38.2485,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1934-11-07T00:00:00Z,1934,11,7,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
