"dataResourceUid","images","raw_recordedBy","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","raw_scientificName","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","measurementDeterminedDate","videos","species","relationshipAccordingTo","resourceRelationshipID","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","identifierRole","relationshipOfResource","measurementMethod","identifier","provenance","sounds","recordID","rights","source","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","images","dcterms:type"
"dr1089","","23531","","","CC-BY","","","","","","","","","","","","HUMAN_OBSERVATION","","Record is NSW Category 3 Conservation Protected in New South Wales. Generalised to 1km by NSW OEH.","","","","","23531","","","","","","","","","PRESENT","","","","","","","","","","","","12041376-f961-4c45-9cbd-539747770cc2","","","","","","","","2003-08-16T00:00:00Z","","","","2003","8","16","","","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","","","","","","","","","","","","-33.92","151.25","EPSG:4326","1000.0","","","","","","degrees minutes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","","","","Neophema chrysogaster","","","","","","","","","","","","","","3f68e1b3-eeee-46af-adbd-48dbbbdae1d2","","","","","","","","","",""
"dr1089","","23531","","","CC-BY","","","","","","","","","","","","HUMAN_OBSERVATION","","Record is NSW Category 3 Conservation Protected in New South Wales. Generalised to 1km by NSW OEH.","","","","","23531","","","","","","","","","PRESENT","","","","","","","","Accepted ORAC Case 368","","","","12041376-f961-4c45-9cbd-539747770cc2","","","","","","","","2003-08-12T00:00:00Z","","","","2003","8","12","","","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","","","","","","","","","","","","-33.92","151.25","EPSG:4326","1000.0","","","","","","degrees minutes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","","","","Neophema chrysogaster","","","","","","","","","","","","","","cf81fa71-6eb6-42b4-b7e0-f7d202aa8270","","","","","","","","","",""
"dr1089","","22099","","","CC-BY","","","","","","","","","","","","HUMAN_OBSERVATION","","Record is NSW Category 3 Conservation Protected in New South Wales. Generalised to 1km by NSW OEH.","","","","","22099","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1845-01-01T00:00:00Z","","","","1845","1","1","","","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","","","","","","","","","","","","-33.92","151.25","EPSG:4326","1000.0","","","","","","degrees minutes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","","","","Neophema chrysogaster","","","","","","","","","","","","","","becbd5b6-6ae6-408f-a0d2-b46b191757fa","","","","","","","","","",""
"dr1089","","20868","","","CC-BY","","","","","","","","","","","","HUMAN_OBSERVATION","","Record is NSW Category 3 Conservation Protected in New South Wales. Generalised to 1km by NSW OEH.","","","","","20868","","","","","","","","","PRESENT","","","","","","","","OBP, 26-30/6, URRF TBA BY JON STARKS.  SAME BIRD AS AT MAROUBRA A MONTH LATER - FIRST SIGHTED BY GARRAY SOUTHWELL","","","","","","","","","","","","2003-05-17T00:00:00Z","","","","2003","5","17","","","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","","","","","","","","","","","","-34.58","150.92","EPSG:4326","1000.0","","","","","","degrees minutes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","","","","Neophema chrysogaster","","","","","","","","","","","","","","7b4c3cb2-d3fd-447c-8b3b-17b2b6e2835b","","","","","","","","","",""
"dr1097","","Not Supplied","","","CC-BY 4.0 (Int)","","","","","","","","","","","","PRESERVED_SPECIMEN","","Record is SA Category 2 Conservation Protected in South Australia. Generalised to 10 km by SA DEWNR.","","5339408","5339408","","Supplied, Not","","","","","","","","","PRESENT","","","","","","","","","","","","175a34dc-ce3f-492a-a3a0-d35a80f23bf1","","","","","","","","1926-11-01T00:00:00Z","","","","1926","11","1","","","","","","","","","577497","","","","","","","Australia","AU","South Australia","","","","","","","5.0","","","","","","","","-37.3","139.7","EPSG:4326","10000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","Non-passerine birds","","","Neophema chrysogaster","","","","","","","","","","","","","","d607ee89-3839-4962-bd91-022c5b374f3c","","","","","","","","","","Event"
"dr1097","","John Arnold","","","CC-BY 4.0 (Int)","","","","","","","","","","","","OCCURRENCE","","","","4288354","4288354","","Arnold, John","","","","","","","","","PRESENT","","","","","","","","","","","","d6cfa120-3911-4e64-80ba-03f6dc153cc0|c8d3faa2-f9b8-497e-8042-619a97784325","","","","","","","","2001-09-19T00:00:00Z","","","","2001","9","19","","","","","","","","","493009","","","","","","","Australia","AU","Victoria","","","","","","","","","","","","","","","-38.2518","144.699","EPSG:4326","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","Non-passerine birds","","","Neophema chrysogaster","","","","","","","","","","","","","","92f0c067-a7e8-4f4f-bc7f-01c9450f7a96","","","","","","","","","","Event"
"dr1097","","Peter Lansley","","","CC-BY 4.0 (Int)","","","","","","","","","","","","OBSERVATION","","","","4252988","4252988","","Lansley, Peter","","","","","","","","","PRESENT","","","","","","","","","","","","d59e466c-aa53-42d9-89ef-b0c20cab44d6","","","","","","","","1987-07-26T00:00:00Z","","","","1987","7","26","","","","","","","","","468782","","","","","","","Australia","AU","Victoria","","","","","","","","","","","","","","","-38.0401","144.6263","EPSG:4326","450.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","Non-passerine birds","","","Neophema chrysogaster","","","","","","","","","","","","","","5ecce1af-6582-450c-b0a6-7ddb2e79867a","","","","","","","","","","Event"
"dr1097","","RAOU VIC observer code 62","","","CC-BY 4.0 (Int)","","","","","","","","","","","","OBSERVATION","","","","3327130","3327130","","RAOU VIC observer code 62","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1978-09-01T00:00:00Z","","","","1978","9","1","","","","","","","","","427923","","","","","","","Australia","AU","Victoria","","","","","","","","","","","","","","","-38.2485","144.5846","EPSG:4326","900.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","Non-passerine birds","","","Neophema chrysogaster","","","","","","","","","","","","","","497d7a45-ea5f-4e5f-b7d0-667bfc6efc3d","","","","","","","","","","Event"
"dr1097","","Members BirdLife Australia","","","CC-BY 4.0 (Int)","","","","","","","","","","","","OCCURRENCE","","","","3947059","3947059","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1984-08-23T00:00:00Z","","","","1984","8","23","","","","","","","","","492919","","","","","","","Australia","AU","Victoria","","","","","","","10.0","","","","","","","","-38.2511","144.6647","EPSG:4326","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","Non-passerine birds","","","Neophema chrysogaster","","","","","","","","","","","","","","01f8c04d-1f2c-46ed-8bdc-2a619d3ff034","","","","","","","","","","Event"
"dr1097","","Not Supplied","","","CC-BY 4.0 (Int)","","","","","","","","","","","","OBSERVATION","","","","4862593","4862593","","Supplied, Not","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1999-07-28T00:00:00Z","","","","1999","7","28","","","","","","","","","568405","","","","","","","Australia","AU","Victoria","","","","","","","","","","","","","","","-38.2529","144.6635","EPSG:4326","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10305","","","","","","","https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8","Neophema chrysogaster","Neophema (Neonanodes) chrysogaster","","","","","","","","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Neophema","","","","species","","(Latham, 1790)","Orange-bellied Parrot","","","","Non-passerine birds","","","Neophema chrysogaster","","","","","","","","","","","","","","e73d7366-d43c-4669-9f01-d2f002668fe6","","","","","","","","","","Event"
